Entity,Time,key,BestEfficiencyFlowRate_operatingRange,BestEfficiencyInsituFlowRate_operatingRange,DifferentialPressure_pumpCurve,ESPCurrent_IPR_VLP,ESPPower_IPR_VLP,Efficiency_pumpCurve,FlowRate_pumpCurve,GasRate_IPR_VLP,Head_pumpCurve,HorsePower_pumpCurve,InflowPressure_IPR_VLP,InsituFlowRate_pumpCurve,InsituVaporLiquidRatio_lowerGasiness,InsituVaporLiquidRatio_pumpIntakeGassiness,InsituVaporLiquidRatio_upperGasiness,MaximumFlowRate_operatingRange,MaximumInsituFlowRate_operatingRange,MinimumFlowRate_operatingRange,MinimumInsituFlowRate_operatingRange,OilRate_IPR_VLP,OutflowPressure_IPR_VLP,PumpIntakePressure_lowerGasiness,PumpIntakePressure_pumpIntakeGassiness,PumpIntakePressure_upperGasiness,Rate_IPR_VLP,DifferentialPressure_WellCurve,FlowRate_WellCurve,Head_WellCurve,InsituFlowRate_WellCurve
"ESP_WFKS_WL14_C",,49,,,,,,,,,,,,,0.7525,,,,,,,,,760.89,,,,,,,
"ESP_WFKS_WL14_C",,50,,,,,,,,,,,,,0.775,,,,,,,,,775.12,,,,,,,
"ESP_WFKS_WL14_C",,51,,,,,,,,,,,,,0.7975,,,,,,,,,789.2,,,,,,,
"ESP_WFKS_WL14_C",,52,,,,,,,,,,,,,0.82,,,,,,,,,803.14,,,,,,,
"ESP_WFKS_WL14_C",,53,,,,,,,,,,,,,0.8425,,,,,,,,,816.93,,,,,,,
"ESP_WFKS_WL14_C",,54,,,,,,,,,,,,,0.865,,,,,,,,,830.59,,,,,,,
"ESP_WFKS_WL14_C",,55,,,,,,,,,,,,,0.8875,,,,,,,,,844.12,,,,,,,
"ESP_WFKS_WL14_C",,56,,,,,,,,,,,,,0.91,,,,,,,,,857.52,,,,,,,
"ESP_WFKS_WL14_C",,57,,,,,,,,,,,,,0.9325,,,,,,,,,870.8,,,,,,,
"ESP_WFKS_WL14_C",,58,,,,,,,,,,,,,0.955,,,,,,,,,883.96,,,,,,,
"ESP_WFKS_WL14_C",,59,,,,,,,,,,,,,0.9775,,,,,,,,,897,,,,,,,
"ESP_WFKS_WL14_C",,60,,,,,,,,,,,,,1,,,,,,,,,909.94,,,,,,,
"ESP_WFKS_WL18_C",,39,,,,,,,,,,,,,0.5275,,,,,,,,,608.5,,,,,,,
"ESP_WFKS_WL18_C",,40,,,,,,,,,,,,,0.55,,,,,,,,,624.7,,,,,,,
"ESP_WFKS_WL18_C",,41,,,,,,,,,,,,,0.5725,,,,,,,,,640.66,,,,,,,
"ESP_WFKS_WL18_C",,42,,,,,,,,,,,,,0.595,,,,,,,,,656.39,,,,,,,
"ESP_WFKS_WL18_C",,43,,,,,,,,,,,,,0.6175,,,,,,,,,671.89,,,,,,,
"ESP_WFKS_WL18_C",,44,,,,,,,,,,,,,0.64,,,,,,,,,687.19,,,,,,,
"ESP_WFKS_WL18_C",,45,,,,,,,,,,,,,0.6625,,,,,,,,,702.29,,,,,,,
"ESP_WFKS_WL18_C",,46,,,,,,,,,,,,,0.685,,,,,,,,,717.21,,,,,,,
"ESP_WFKS_WL18_C",,47,,,,,,,,,,,,,0.7075,,,,,,,,,731.94,,,,,,,
"ESP_WFKS_WL18_C",,48,,,,,,,,,,,,,0.73,,,,,,,,,746.5,,,,,,,
"ESP_WFKS_WL18_C",,49,,,,,,,,,,,,,0.7525,,,,,,,,,760.89,,,,,,,
"ESP_WFKS_WL18_C",,50,,,,,,,,,,,,,0.775,,,,,,,,,775.12,,,,,,,
"ESP_WFKS_WL18_C",,51,,,,,,,,,,,,,0.7975,,,,,,,,,789.2,,,,,,,
"ESP_WFKS_WL18_C",,52,,,,,,,,,,,,,0.82,,,,,,,,,803.14,,,,,,,
"ESP_WFKS_WL18_C",,53,,,,,,,,,,,,,0.8425,,,,,,,,,816.93,,,,,,,
"ESP_WFKS_WL18_C",,54,,,,,,,,,,,,,0.865,,,,,,,,,830.59,,,,,,,
"ESP_WFKS_WL18_C",,55,,,,,,,,,,,,,0.8875,,,,,,,,,844.12,,,,,,,
"ESP_WFKS_WL18_C",,56,,,,,,,,,,,,,0.91,,,,,,,,,857.52,,,,,,,
"ESP_WFKS_WL18_C",,57,,,,,,,,,,,,,0.9325,,,,,,,,,870.8,,,,,,,
"ESP_WFKS_WL18_C",,58,,,,,,,,,,,,,0.955,,,,,,,,,883.96,,,,,,,
"ESP_WFKS_WL18_C",,59,,,,,,,,,,,,,0.9775,,,,,,,,,897,,,,,,,
"ESP_WFKS_WL18_C",,60,,,,,,,,,,,,,1,,,,,,,,,909.94,,,,,,,
"ESP_CGCS_WL19_C",,12,,,,,,,,,,,,,0.06,,0.12,,,,,,,155.01,,155.01,,,,,
"ESP_CGCS_WL19_C",,13,,,,,,,,,,,,,0.065,,0.13,,,,,,,163.01,,163.01,,,,,
"ESP_CGCS_WL19_C",,14,,,,,,,,,,,,,0.07,,0.14,,,,,,,170.79,,170.79,,,,,
"ESP_CGCS_WL19_C",,15,,,,,,,,,,,,,0.075,,0.15,,,,,,,178.37,,178.37,,,,,
"ESP_CGCS_WL19_C",,16,,,,,,,,,,,,,0.08,,0.16,,,,,,,185.76,,185.76,,,,,
"ESP_CGCS_WL19_C",,17,,,,,,,,,,,,,0.085,,0.17,,,,,,,192.98,,192.98,,,,,
"ESP_CGCS_WL19_C",,18,,,,,,,,,,,,,0.09,,0.18,,,,,,,200.04,,200.04,,,,,
"ESP_CGCS_WL19_C",,19,,,,,,,,,,,,,0.095,,0.19,,,,,,,206.96,,206.96,,,,,
"ESP_CGCS_WL19_C",,20,,,,,,,,,,,,,0.1,,0.2,,,,,,,213.75,,213.75,,,,,
"ESP_CGCS_WL19_C",,21,,,,,,,,,,,,,0.1225,,0.245,,,,,,,242.86,,242.86,,,,,
"ESP_CGCS_WL19_C",,22,,,,,,,,,,,,,0.145,,0.29,,,,,,,270.04,,270.04,,,,,
"ESP_CGCS_WL19_C",,23,,,,,,,,,,,,,0.1675,,0.335,,,,,,,295.69,,295.69,,,,,
"ESP_CGCS_WL19_C",,24,,,,,,,,,,,,,0.19,,0.38,,,,,,,320.09,,320.09,,,,,
"ESP_CGCS_WL19_C",,25,,,,,,,,,,,,,0.2125,,0.425,,,,,,,343.44,,343.44,,,,,
"ESP_CGCS_WL19_C",,26,,,,,,,,,,,,,0.235,,0.47,,,,,,,365.89,,365.89,,,,,
"ESP_CGCS_WL19_C",,27,,,,,,,,,,,,,0.2575,,0.515,,,,,,,387.55,,387.55,,,,,
"ESP_CGCS_WL19_C",,28,,,,,,,,,,,,,0.28,,0.56,,,,,,,408.52,,408.52,,,,,
"ESP_CGCS_WL19_C",,29,,,,,,,,,,,,,0.3025,,0.605,,,,,,,428.88,,428.88,,,,,
"ESP_CGCS_WL19_C",,30,,,,,,,,,,,,,0.325,,0.65,,,,,,,448.68,,448.68,,,,,
"ESP_CGCS_WL19_C",,31,,,,,,,,,,,,,0.3475,,0.695,,,,,,,467.98,,467.98,,,,,
"ESP_CGCS_WL19_C",,32,,,,,,,,,,,,,0.37,,0.74,,,,,,,486.82,,486.82,,,,,
"ESP_CGCS_WL19_C",,33,,,,,,,,,,,,,0.3925,,0.785,,,,,,,505.24,,505.24,,,,,
"ESP_CGCS_WL19_C",,34,,,,,,,,,,,,,0.415,,0.83,,,,,,,523.27,,523.27,,,,,
"ESP_CGCS_WL19_C",,35,,,,,,,,,,,,,0.4375,,0.875,,,,,,,540.94,,540.94,,,,,
"ESP_CGCS_WL19_C",,36,,,,,,,,,,,,,0.46,,0.92,,,,,,,558.28,,558.28,,,,,
"ESP_CGCS_WL19_C",,37,,,,,,,,,,,,,0.4825,,0.965,,,,,,,575.31,,575.31,,,,,
"ESP_CGCS_WL19_C",,38,,,,,,,,,,,,,0.505,,1,,,,,,,592.04,,588.35,,,,,
"ESP_CGCS_WL20_C",,12,,,,,,,,,,,,,0.06,,0.12,,,,,,,155.01,,155.01,,,,,
"ESP_CGCS_WL20_C",,13,,,,,,,,,,,,,0.065,,0.13,,,,,,,163.01,,163.01,,,,,
"ESP_CGCS_WL20_C",,14,,,,,,,,,,,,,0.07,,0.14,,,,,,,170.79,,170.79,,,,,
"ESP_CGCS_WL20_C",,15,,,,,,,,,,,,,0.075,,0.15,,,,,,,178.37,,178.37,,,,,
"ESP_CGCS_WL20_C",,16,,,,,,,,,,,,,0.08,,0.16,,,,,,,185.76,,185.76,,,,,
"ESP_CGCS_WL20_C",,17,,,,,,,,,,,,,0.085,,0.17,,,,,,,192.98,,192.98,,,,,
"ESP_CGCS_WL20_C",,18,,,,,,,,,,,,,0.09,,0.18,,,,,,,200.04,,200.04,,,,,
"ESP_CGCS_WL20_C",,19,,,,,,,,,,,,,0.095,,0.19,,,,,,,206.96,,206.96,,,,,
"ESP_CGCS_WL20_C",,20,,,,,,,,,,,,,0.1,,0.2,,,,,,,213.75,,213.75,,,,,
"ESP_CGCS_WL20_C",,21,,,,,,,,,,,,,0.1225,,0.245,,,,,,,242.86,,242.86,,,,,
"ESP_CGCS_WL20_C",,22,,,,,,,,,,,,,0.145,,0.29,,,,,,,270.04,,270.04,,,,,
